ID,Comments
1663193134044692480,"@HPIndia a new HP Omen series laptop has been formatted twice by your technicans, parts changed. How do you expect us to use defective products when we are literally paying in lakhs? #WorstLaptops #HPLaptops #HPOmenSeries #PremiumLaptops"
1662794110766546945,"@HPSupport @HP @HPIndia 
Sell substandard products in the name of economy. Such products are designed to fail after the warranty period. Then the after sales service is a joke. @BandBajaateRaho @amitbhawani @RajivMakhni"
1650658571531476996,"Accumulating research shows lifelong stressors degrade health and increase cancer risk, but exercise might help counteract the impact of stress."
1662819329224888320,"@RajBaghel47 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1663842171114618881,"@ritik_alok Since I did not hear back from you I will be closing this case for now.
If you ever face any issue with any of your HP products please do not hesitate to message us!
Have a great day and stay safe.😊 https://t.co/nrTJPZ9Ajj"
1663925040877039616,Robinhood but they are honest about what your buying power is being used for https://t.co/jXcoq4m0ky
1660539994640097280,"@damodharanram Hey, Since I did not hear back from you I will be closing this case for now. If you need any assistance with any of your HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards, 
HP Support"
1662339699518701568,I had called up your call centre for HP envy 360. I got a info that don't purchase from hp dealers as they sell broken or damaged products which are not noticeable. Is this what HP does in Indian market. #hpindia
1661979467684929536,"@ashutoshjha6 @XiaomiIndia @Flipkart @Dell_IN @HPIndia @Acer_India @ashutoshjha6 @Flipkart @flipkartsupport , flipkart has a best policy. Deliver faulty products, send customers to the service centre. Service centre don't do the replacement. Get out of the situation as customers are made to suffer. And people after paying gets a faulty product."
1660875646346858496,@HPIndia shame on you @HPIndia. My issue were not resolved and I don't have hope on this. Don't buy this products.bcoz they need only money they don't want costumes issue to be fulfilled.
1661234219207778304,@HPIndia @HPSupport disappointed that after 3 days of complaining about errant dealer engaging in illegal and non complaint acts am yet to get a resolution . HP doesn’t seem serious at all about compliance or customers. Moving on and will buy my products elsewhere
1663191503739686913,"Anyone planning to even think of buying a HP laptop @HPIndia, DONT. Bad quality products, worse customer service and worst technicians. Havent had such a bad experience like this with any other brand recently. #LaptopReview #Laptop #HPOmen #HPLaptops"
1663557337897140226,"@bhagatsinghiift Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1661726550088388609,"@Harshit83578545 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1660237102712520704,@HPIndia @HPSupport your dealer Hp world in galleria market gurgaon is refusing to take cash payment for laptop . In fact he is saying he will only accept cash if I pay 8000 rs extra ! Is this your practice ? It’s criminal offence to refuse Indian currency in india @RBI
1660629820634714113,@HPSupport Hp products is good but service is very very poor I have call last 2 day but toll free guys tell technician assign but not  confirming wich service center assing. I never Expected this typ hp getting service. @HPIndia @HP @HP_Newsroom https://t.co/52s3OzTUTN
1660663174033448961,"""Hey @HPIndia, disappointed to hear that you're refusing to repair monitors out of warranty. It's unfair to customers who rely on your products. Please reconsider and provide better support for your loyal users. #CustomerService #HPIndia"""
1663766054332678144,"Its a nightmare dealing with @HPIndia. No commitments, no resolutions, no timely visits and solutions, no professionalism, technicians have zero knowledge about their own products. Dont buy HP laptops. #HPOmen #HPLaptop #LaptopReview #OmenLaptop"
1661683275025506304,"@DKUMAR54069407 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1663503074063974400,"@raghuttam88 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards
HP Support https://t.co/nrTJPZ9Ajj"
1656040458584244251,"How are GenAI, sustainability, inclusive design, and more revolutionizing Product Management? Register for the virtual speaker series by June 2 and find out how product leaders are harnessing these trends."
1660877353017307136,Can't contact customer care executive. Don't buy HP products no customer support by HP company. @HP @HPIndia @HPSupport
1662795650432634880,"@HPSupport @HP @HPIndia 
Sell substandard products in the name of economy. Such products are designed to fail after the warranty period. Then the after sales service is a joke. @BandBajaateRaho @amitbhawani @RajivMakhni @Trolling_isart"
1661968750558728192,"@MdSharique67 Hey, Since I did not hear back from you I will be closing this case for now. If you need any assistance with any of your HP products please do not hesitate to message us!

Have a great day and stay safe.😊

Regards, 
HP Support"
